CHAPTER|SECTION|PARAGRAPH|DATE_FROM|DATE_TO|VERSION
1|1|1|2018-11-07|2018-11-07|1
1|1|2|2018-11-07|2018-11-07|1
1|2|0|2018-11-07|2018-11-07|1
1|3|0|2018-11-07|2018-11-07|1
1|3|1|2018-11-07|2018-11-07|1
1|3|3|2018-11-07|2018-11-07|1
1|3|4|2018-11-07|2018-11-07|1
1|3|5|2018-11-07|2018-11-07|1
1|4|1|2018-11-07|2018-11-07|1
1|4|2|2018-11-07|2018-11-07|1
1|4|3|2018-11-07|2018-11-07|1
1|5|0|2018-11-07|2018-11-07|1
1|5|1|2018-11-07|2018-11-07|1
1|5|2|2018-11-07|2018-11-07|1
1|5|4|2018-11-07|2018-11-07|1
1|6|1|2018-11-07|2018-11-07|1
1|6|2|2018-11-07|2018-11-07|1
1|6|3|2018-11-07|2018-11-07|1
1|6|4|2018-11-07|2018-11-07|1
1|6|5|2018-11-07|2018-11-07|1
1|6|6|2018-11-07|2018-11-07|1
1|6|7|2018-11-07|2018-11-07|1
1|7|1|2018-11-07|2018-11-07|1
1|7|2|2018-11-07|2018-11-07|1
1|7|4|2018-11-07|2018-11-07|1
1|8|1|2018-11-07|2018-11-07|1
1|9|1|2018-11-07|2018-11-07|1
1|9|4|2018-11-07|2018-11-07|1
2|1|1|2018-11-07|2018-11-07|1
2|1|2|2018-11-07|2018-11-07|1
2|2|1|2018-11-07|2018-11-07|1
2|2|2|2018-11-07|2018-11-07|1
2|2|3|2018-11-07|2018-11-07|1
2|2|4|2018-11-07|2018-11-07|1
2|2|8|2018-11-07|2018-11-07|1
2|3|2|2018-11-07|2018-11-07|1
2|4|0|2018-11-07|2018-11-07|1
2|5|1|2018-11-07|2018-11-07|1
2|5|2|2018-11-07|2018-11-07|1
2|5|4|2018-11-07|2018-11-07|1
2|5|5|2018-11-07|2018-11-07|1
2|6|1|2018-11-07|2018-11-07|1
2|6|2|2018-11-07|2018-11-07|1
2|6|3|2018-11-07|2018-11-07|1
2|6|4|2018-11-07|2018-11-07|1
2|7|2|2018-11-07|2018-11-07|1
2|7|3|2018-11-07|2018-11-07|1
2|8|1|2018-11-07|2018-11-07|1
2|8|2|2018-11-07|2018-11-07|1
2|9|0|2018-11-07|2018-11-07|1
2|11|0|2018-11-07|2018-11-07|1
2|12|0|2018-11-07|2018-11-07|1
3|1|1|2018-11-07|2018-11-07|1
3|1|2|2018-11-07|2018-11-07|1
3|1|3|2018-11-07|2018-11-07|1
3|1|4|2018-11-07|2018-11-07|1
3|1|5|2018-11-07|2018-11-07|1
3|2|0|2018-11-07|2018-11-07|1
3|3|1|2018-11-07|2018-11-07|1
3|3|2|2018-11-07|2018-11-07|1
3|3|3|2018-11-07|2018-11-07|1
3|4|1|2018-11-07|2018-11-07|1
3|4|2|2018-11-07|2018-11-07|1
3|4|3|2018-11-07|2018-11-07|1
3|6|0|2018-11-07|2018-11-07|1
3|7|0|2018-11-07|2018-11-07|1
3|8|0|2018-11-07|2018-11-07|1
3|9|1|2018-11-07|2018-11-07|1
3|9|2|2018-11-07|2018-11-07|1
3|10|0|2018-11-07|2018-11-07|1
3|11|1|2018-11-07|2018-11-07|1
4|1|1|2018-11-07|2018-11-07|1
4|1|2|2018-11-07|2018-11-07|1
4|1|3|2018-11-07|2018-11-07|1
4|2|1|2018-11-07|2018-11-07|1
4|2|2|2018-11-07|2018-11-07|1
4|2|3|2018-11-07|2018-11-07|1
4|3|1|2018-11-07|2018-11-07|1
4|3|2|2018-11-07|2018-11-07|1
4|3|3|2018-11-07|2018-11-07|1
4|3|4|2018-11-07|2018-11-07|1
4|4|0|2018-11-07|2018-11-07|1
4|5|1|2018-11-07|2018-11-07|1
4|5|2|2018-11-07|2018-11-07|1
4|6|0|2018-11-07|2018-11-07|1
4|7|1|2018-11-07|2018-11-07|1
4|7|2|2018-11-07|2018-11-07|1
4|7|3|2018-11-07|2018-11-07|1
4|7|4|2018-11-07|2018-11-07|1
4|8|1|2018-11-07|2018-11-07|1
4|8|2|2018-11-07|2018-11-07|1
4|9|1|2018-11-07|2018-11-07|1
4|9|2|2018-11-07|2018-11-07|1
4|9|3|2018-11-07|2018-11-07|1
4|10|0|2018-11-07|2018-11-07|1
4|10|1|2018-11-07|2018-11-07|1
4|10|2|2018-11-07|2018-11-07|1
4|10|3|2018-11-07|2018-11-07|1
4|11|0|2018-11-07|2018-11-07|1
5|1|1|2018-11-07|2018-11-07|1
5|1|2|2018-11-07|2018-11-07|1
5|1|3|2018-11-07|2018-11-07|1
5|1|4|2018-11-07|2018-11-07|1
5|1|5|2018-11-07|2018-11-07|1
5|1|6|2018-11-07|2018-11-07|1
5|1|7|2018-11-07|2018-11-07|1
5|1|8|2018-11-07|2018-11-07|1
5|1|9|2018-11-07|2018-11-07|1
5|1|10|2018-11-07|2018-11-07|1
5|1|11|2018-11-07|2018-11-07|1
5|1|12|2018-11-07|2018-11-07|1
5|1|13|2018-11-07|2018-11-07|1
5|2|1|2018-11-07|2018-11-07|1
5|2|2|2018-11-07|2018-11-07|1
5|2|3|2018-11-07|2018-11-07|1
5|2|4|2018-11-07|2018-11-07|1
5|2|5|2018-11-07|2018-11-07|1
5|3|0|2018-11-07|2018-11-07|1
5|3|1|2018-11-07|2018-11-07|1
5|3|2|2018-11-07|2018-11-07|1
5|3|3|2018-11-07|2018-11-07|1
5|3|4|2018-11-07|2018-11-07|1
5|4|1|2018-11-07|2018-11-07|1
5|4|8|2018-11-07|2018-11-07|1
5|5|1|2018-11-07|2018-11-07|1
6|1|1|2018-11-07|2018-11-07|1
6|1|2|2018-11-07|2018-11-07|1
6|1|4|2018-11-07|2018-11-07|1
6|1|6|2018-11-07|2018-11-07|1
6|2|1|2018-11-07|2018-11-07|1
6|2|2|2018-11-07|2018-11-07|1
6|3|1|2018-11-07|2018-11-07|1
6|3|2|2018-11-07|2018-11-07|1
6|4|1|2018-11-07|2018-11-07|1
6|4|2|2018-11-07|2018-11-07|1
6|4|3|2018-11-07|2018-11-07|1
6|5|1|2018-11-07|2018-11-07|1
6|5|2|2018-11-07|2018-11-07|1
6|6|1|2018-11-07|2018-11-07|1
6|6|2|2018-11-07|2018-11-07|1
6|7|1|2018-11-07|2018-11-07|1
6|7|2|2018-11-07|2018-11-07|1
6|7|3|2018-11-07|2018-11-07|1
7|1|1|2018-11-07|2018-11-07|1
7|1|3|2018-11-07|2018-11-07|1
7|2|1|2018-11-07|2018-11-07|1
7|2|2|2018-11-07|2018-11-07|1
7|3|1|2018-11-07|2018-11-07|1
7|3|2|2018-11-07|2018-11-07|1
7|3|3|2018-11-07|2018-11-07|1
7|3|4|2018-11-07|2018-11-07|1
7|3|5|2018-11-07|2018-11-07|1
7|4|1|2018-11-07|2018-11-07|1
7|4|2|2018-11-07|2018-11-07|1
7|4|3|2018-11-07|2018-11-07|1
7|4|4|2018-11-07|2018-11-07|1
7|4|5|2018-11-07|2018-11-07|1
7|4|6|2018-11-07|2018-11-07|1
8|1|0|2018-11-07|2018-11-07|1
8|1|1|2018-11-07|2018-11-07|1
8|1|3|2018-11-07|2018-11-07|1
8|1|5|2018-11-07|2018-11-07|1
8|2|1|2018-11-07|2018-11-07|1
8|2|2|2018-11-07|2018-11-07|1
8|2|4|2018-11-07|2018-11-07|1
8|3|1|2018-11-07|2018-11-07|1
8|3|2|2018-11-07|2018-11-07|1
8|3|4|2018-11-07|2018-11-07|1
9|1|1|2018-11-07|2018-11-07|1
9|1|2|2018-11-07|2018-11-07|1
9|1|3|2018-11-07|2018-11-07|1
9|1|6|2018-11-07|2018-11-07|1
9|2|1|2018-11-07|2018-11-07|1
9|2|2|2018-11-07|2018-11-07|1
9|4|0|2018-11-07|2018-11-07|1
9|4|1|2018-11-07|2018-11-07|1
9|4|2|2018-11-07|2018-11-07|1
9|4|99|2018-11-07|2018-11-07|1
9|5|1|2018-11-07|2018-11-07|1
9|5|2|2018-11-07|2018-11-07|1
9|5|3|2018-11-07|2018-11-07|1
9|5|4|2018-11-07|2018-11-07|1
9|6|1|2018-11-07|2018-11-07|1
9|6|2|2018-11-07|2018-11-07|1
9|6|3|2018-11-07|2018-11-07|1
9|6|4|2018-11-07|2018-11-07|1
9|6|5|2018-11-07|2018-11-07|1
9|6|6|2018-11-07|2018-11-07|1
9|6|7|2018-11-07|2018-11-07|1
9|8|1|2018-11-07|2018-11-07|1
9|9|0|2018-11-07|2018-11-07|1
9|10|0|2018-11-07|2018-11-07|1
9|11|1|2018-11-07|2018-11-07|1
9|11|2|2018-11-07|2018-11-07|1
9|11|4|2018-11-07|2018-11-07|1
9|12|0|2018-11-07|2018-11-07|1
10|1|0|2018-11-07|2018-11-07|1
10|1|1|2018-11-07|2018-11-07|1
10|1|2|2018-11-07|2018-11-07|1
10|1|3|2018-11-07|2018-11-07|1
10|1|4|2018-11-07|2018-11-07|1
10|1|5|2018-11-07|2018-11-07|1
10|2|1|2018-11-07|2018-11-07|1
10|2|2|2018-11-07|2018-11-07|1
10|3|1|2018-11-07|2018-11-07|1
10|3|2|2018-11-07|2018-11-07|1
11|3|1|2018-11-07|2018-11-07|1
11|3|3|2018-11-07|2018-11-07|1
11|4|1|2018-11-07|2018-11-07|1
11|4|2|2018-11-07|2018-11-07|1
11|5|0|2018-11-07|2018-11-07|1
11|6|0|2018-11-07|2018-11-07|1
11|6|99|2018-11-07|2018-11-07|1
11|7|0|2018-11-07|2018-11-07|1
11|8|0|2018-11-07|2018-11-07|1
11|8|1|2018-11-07|2018-11-07|1
11|8|2|2018-11-07|2018-11-07|1
11|8|3|2018-11-07|2018-11-07|1
11|9|0|2018-11-07|2018-11-07|1
12|1|0|2018-11-07|2018-11-07|1
12|1|1|2018-11-07|2018-11-07|1
12|1|2|2018-11-07|2018-11-07|1
12|1|3|2018-11-07|2018-11-07|1
12|2|0|2018-11-07|2018-11-07|1
12|2|1|2018-11-07|2018-11-07|1
12|2|2|2018-11-07|2018-11-07|1
12|2|3|2018-11-07|2018-11-07|1
12|3|0|2018-11-07|2018-11-07|1
12|3|1|2018-11-07|2018-11-07|1
12|3|2|2018-11-07|2018-11-07|1
12|3|3|2018-11-07|2018-11-07|1
12|3|4|2018-11-07|2018-11-07|1
12|3|5|2018-11-07|2018-11-07|1
13|1|0|2018-11-07|2018-11-07|1
13|1|1|2018-11-07|2018-11-07|1
13|1|99|2018-11-07|2018-11-07|1
13|2|0|2018-11-07|2018-11-07|1
13|2|1|2018-11-07|2018-11-07|1
13|2|2|2018-11-07|2018-11-07|1
13|2|3|2018-11-07|2018-11-07|1
13|3|0|2018-11-07|2018-11-07|1
13|4|0|2018-11-07|2018-11-07|1
13|5|0|2018-11-07|2018-11-07|1
13|5|1|2018-11-07|2018-11-07|1
13|5|2|2018-11-07|2018-11-07|1
13|5|3|2018-11-07|2018-11-07|1
13|6|0|2018-11-07|2018-11-07|1
13|6|1|2018-11-07|2018-11-07|1
13|6|2|2018-11-07|2018-11-07|1
13|6|3|2018-11-07|2018-11-07|1
13|7|0|2018-11-07|2018-11-07|1
13|8|1|2018-11-07|2018-11-07|1
13|8|2|2018-11-07|2018-11-07|1
13|9|0|2018-11-07|2018-11-07|1
13|9|99|2018-11-07|2018-11-07|1
13|10|1|2018-11-07|2018-11-07|1
13|10|2|2018-11-07|2018-11-07|1
13|10|3|2018-11-07|2018-11-07|1
13|10|4|2018-11-07|2018-11-07|1
13|10|5|2018-11-07|2018-11-07|1
13|11|1|2018-11-07|2018-11-07|1
13|11|2|2018-11-07|2018-11-07|1
13|11|3|2018-11-07|2018-11-07|1
13|11|4|2018-11-07|2018-11-07|1
13|11|5|2018-11-07|2018-11-07|1
13|11|6|2018-11-07|2018-11-07|1
13|11|7|2018-11-07|2018-11-07|1
13|12|0|2018-11-07|2018-11-07|1
13|13|1|2018-11-07|2018-11-07|1
13|14|0|2018-11-07|2018-11-07|1
13|15|0|2018-11-07|2018-11-07|1
13|15|99|2018-11-07|2018-11-07|1
14|4|0|2018-11-07|2018-11-07|1
15|1|1|2018-11-07|2018-11-07|1
15|1|3|2018-11-07|2018-11-07|1
15|1|4|2018-11-07|2018-11-07|1
15|1|5|2018-11-07|2018-11-07|1
15|1|7|2018-11-07|2018-11-07|1
15|2|0|2018-11-07|2018-11-07|1
15|2|1|2018-11-07|2018-11-07|1
19|0|0|2018-11-07|2018-11-07|1
19|1|0|2018-11-07|2018-11-07|1
19|2|3|2018-11-07|2018-11-07|1
19|2|7|2018-11-07|2018-11-07|1
19|4|0|2018-11-07|2018-11-07|1
19|5|0|2018-11-07|2018-11-07|1
19|5|99|2018-11-07|2018-11-07|1
19|6|1|2018-11-07|2018-11-07|1
19|6|3|2018-11-07|2018-11-07|1
19|6|5|2018-11-07|2018-11-07|1
19|6|6|2018-11-07|2018-11-07|1
19|6|7|2018-11-07|2018-11-07|1
19|8|0|2018-11-07|2018-11-07|1
19|14|1|2018-11-07|2018-11-07|1
20|1|0|2018-11-07|2018-11-07|1
20|2|0|2018-11-07|2018-11-07|1
20|2|1|2018-11-07|2018-11-07|1
20|2|2|2018-11-07|2018-11-07|1
20|3|0|2018-11-07|2018-11-07|1
20|4|1|2018-11-07|2018-11-07|1
20|4|2|2018-11-07|2018-11-07|1
20|4|3|2018-11-07|2018-11-07|1
20|5|0|2018-11-07|2018-11-07|1
20|6|0|2018-11-07|2018-11-07|1
20|7|0|2018-11-07|2018-11-07|1
20|8|0|2018-11-07|2018-11-07|1
20|9|0|2018-11-07|2018-11-07|1
20|10|0|2018-11-07|2018-11-07|1
20|11|0|2018-11-07|2018-11-07|1
20|12|0|2018-11-07|2018-11-07|1
20|17|0|2018-11-07|2018-11-07|1
20|19|0|2018-11-07|2018-11-07|1
20|20|0|2018-11-07|2018-11-07|1
21|1|0|2018-11-07|2018-11-07|1
21|1|3|2018-11-07|2018-11-07|1
21|1|5|2018-11-07|2018-11-07|1
21|1|6|2018-11-07|2018-11-07|1
21|1|7|2018-11-07|2018-11-07|1
21|1|8|2018-11-07|2018-11-07|1
21|1|9|2018-11-07|2018-11-07|1
21|1|11|2018-11-07|2018-11-07|1
21|1|12|2018-11-07|2018-11-07|1
21|1|13|2018-11-07|2018-11-07|1
21|1|15|2018-11-07|2018-11-07|1
21|2|0|2018-11-07|2018-11-07|1
21|3|0|2018-11-07|2018-11-07|1
21|4|0|2018-11-07|2018-11-07|1
21|6|0|2018-11-07|2018-11-07|1
21|6|1|2018-11-07|2018-11-07|1
21|6|2|2018-11-07|2018-11-07|1
21|7|0|2018-11-07|2018-11-07|1
21|7|3|2018-11-07|2018-11-07|1
21|7|4|2018-11-07|2018-11-07|1
21|7|5|2018-11-07|2018-11-07|1
21|7|6|2018-11-07|2018-11-07|1
21|8|0|2018-11-07|2018-11-07|1
21|13|0|2018-11-07|2018-11-07|1
21|16|0|2018-11-07|2018-11-07|1
21|18|0|2018-11-07|2018-11-07|1
21|19|0|2018-11-07|2018-11-07|1
21|20|0|2018-11-07|2018-11-07|1
21|23|1|2018-11-07|2018-11-07|1
21|24|0|2018-11-07|2018-11-07|1
21|26|0|2018-11-07|2018-11-07|1
21|27|0|2018-11-07|2018-11-07|1
21|28|0|2018-11-07|2018-11-07|1
21|29|0|2018-11-07|2018-11-07|1
21|30|7|2018-11-07|2018-11-07|1
21|30|99|2018-11-07|2018-11-07|1
21|31|0|2018-11-07|2018-11-07|1
21|32|0|2018-11-07|2018-11-07|1
21|33|0|2018-11-07|2018-11-07|1
21|37|0|2018-11-07|2018-11-07|1
21|38|0|2018-11-07|2018-11-07|1
21|39|0|2018-11-07|2018-11-07|1
22|2|0|2018-11-07|2018-11-07|1
22|5|0|2018-11-07|2018-11-07|1
22|15|0|2018-11-07|2018-11-07|1
22|30|0|2018-11-07|2018-11-07|1
22|30|30|2018-11-07|2018-11-07|1
22|35|0|2018-11-07|2018-11-07|1
22|40|0|2018-11-07|2018-11-07|1
22|50|0|2018-11-07|2018-11-07|1
22|50|30|2018-11-07|2018-11-07|1
22|60|0|2018-11-07|2018-11-07|1
22|60|30|2018-11-07|2018-11-07|1
22|70|0|2018-11-07|2018-11-07|1
22|80|0|2018-11-07|2018-11-07|1
22|85|0|2018-11-07|2018-11-07|1
22|90|0|2018-11-07|2018-11-07|1
22|90|30|2018-11-07|2018-11-07|1
23|0|0|2018-11-07|2018-11-07|1
23|5|0|2018-11-07|2018-11-07|1
23|5|99|2018-11-07|2018-11-07|1
23|10|0|2018-11-07|2018-11-07|1
23|10|99|2018-11-07|2018-11-07|1
23|15|0|2018-11-07|2018-11-07|1
23|15|99|2018-11-07|2018-11-07|1
23|20|0|2018-11-07|2018-11-07|1
23|25|0|2018-11-07|2018-11-07|1
23|30|0|2018-11-07|2018-11-07|1
23|30|99|2018-11-07|2018-11-07|1
23|35|0|2018-11-07|2018-11-07|1
23|35|99|2018-11-07|2018-11-07|1
23|45|0|2018-11-07|2018-11-07|1
23|46|0|2018-11-07|2018-11-07|1
23|46|99|2018-11-07|2018-11-07|1
23|50|0|2018-11-07|2018-11-07|1
23|55|0|2018-11-07|2018-11-07|1
23|60|0|2018-11-07|2018-11-07|1
23|60|99|2018-11-07|2018-11-07|1
23|70|0|2018-11-07|2018-11-07|1
23|75|0|2018-11-07|2018-11-07|1
23|80|0|2018-11-07|2018-11-07|1
23|80|99|2018-11-07|2018-11-07|1
23|85|0|2018-11-07|2018-11-07|1
23|85|99|2018-11-07|2018-11-07|1
23|90|0|2018-11-07|2018-11-07|1
23|94|0|2018-11-07|2018-11-07|1
23|94|99|2018-11-07|2018-11-07|1
23|96|0|2018-11-07|2018-11-07|1
23|96|99|2018-11-07|2018-11-07|1
99|0|0|2018-11-07|2018-11-07|1
99|0|99|2018-11-07|2018-11-07|1
99|1|0|2018-11-07|2018-11-07|1
99|99|99|2018-11-07|2018-11-07|1
